###############################################
#       Resgen Failed Image Loading Log       #
###############################################
ID_NAME 	ID	FILE_PATH	FORCE_TYPE
IMG_CAT1004_CLOSE_ICON_UP	10798	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\VK3\\CLOSE_N.PNG	0
IMG_HORIZONTAL_TAB_HINT_AREA	10811	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\TABBAR\\TITLEBAR.GIF	0
IMG_HORIZONTAL_DISABLED_TAB	10812	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\TABBAR\\TAB_BAR_DISABLE.9SLICE.PNG	0
WGUI_IMG_TEXT_BG_TOP	10817	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\TEXTBG\\TBG_TOP.PNG	0
WGUI_IMG_TEXT_BG_BOTTOM	10819	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\TEXTBG\\TBG_BOTTOM.PNG	0
WGUI_IMG_TEXT_BG_PREVIEW	10820	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\TEXTBG\\TBG_PREVIEW.PNG	0
IMG_STATUS_ICON_TIME_AM	10823	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\STATUSICONTIME\\AM.BMP	0
IMG_STATUS_ICON_TIME_PM	10824	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\STATUSICONTIME\\PM.BMP	0
IMG_STATUS_ICON_TIME_AM_CH	10825	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\STATUSICONTIME\\AM_CH.BMP	0
IMG_STATUS_ICON_TIME_PM_CH	10826	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\STATUSICONTIME\\PM_CH.BMP	0
SMALL_CHECKBOX_ON_IMAGE_ID	10827	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\CHECKBOX\\S_CK_S.BMP	0
SMALL_CHECKBOX_OFF_IMAGE_ID	10828	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\CHECKBOX\\S_CK_UNS.BMP	0
IMG_ID_IME_VK_CHANGE_MODE	26089	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\VK3\\POPUPLIST_CHANGEMODE.PNG	0
IMG_ID_IME_VK_CHANGE_SETTING	26090	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\VK3\\POPUPLIST_SETTING.PNG	0
IMG_MENU_ID_CONNECTIVITY_ICON	15105	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\SUBMENU\\SETTINGS\\ST_CONNECT.BMP	0
IMG_ID_APP_DEVAPP	48714	..\\DEVRESOURCE\\IMAGES\\EMPTYIMAGE.BMP	0
IMG_ID_EM_MAIN_ICON	11877	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\TITLEBAR\\TB_EM.PNG	0
